year,key_mlbam,pitches,runs_all,runs_heart,runs_shadow,runs_chase,runs_waste,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,ev50,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa,competitive_runs,sprint_speed,bbe,gb_rate,air_rate,fb_rate,ld_rate,pu_rate,pull_rate,straight_rate,oppo_rate,pull_gb_rate,straight_gb_rate,oppo_gb_rate,pull_air_rate,straight_air_rate,oppo_air_rate,bip,est_ba,est_ba_minus_ba_diff,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,POS_1B,POS_2B,POS_3B,POS_C,POS_CF,POS_DH,POS_LF,POS_RF,POS_SS,POS_UNK,TEAM_108,TEAM_109,TEAM_110,TEAM_111,TEAM_112,TEAM_113,TEAM_114,TEAM_115,TEAM_116,TEAM_117,TEAM_118,TEAM_119,TEAM_120,TEAM_121,TEAM_133,TEAM_134,TEAM_135,TEAM_136,TEAM_137,TEAM_138,TEAM_139,TEAM_140,TEAM_141,TEAM_142,TEAM_143,TEAM_144,TEAM_145,TEAM_146,TEAM_147,TEAM_158
2015,542303,1825,-2.816843429187477,-5.090795969962787,-9.428789971544257,5.125054633083479,6.577687879236076,351,7.2,29.3,114.5,91.8,102.8,95.9,90.0,434,159,415.0,158,45.0,21,6.0,4.3,191,28.2,350,0.4028571428571428,0.5971428571428572,0.3257142857142857,0.2228571428571428,0.0485714285714285,0.4285714285714285,0.3428571428571428,0.2285714285714285,0.2314285714285714,0.1257142857142857,0.0457142857142857,0.1971428571428571,0.2171428571428571,0.1828571428571428,351,0.261,-0.002,0.42,-0.0369999999999999,0.302,0.321,-0.019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,571448,2272,41.40544592548678,20.848183186821736,7.716005487293223,6.354275381631426,6.486981869740405,517,16.3,33.7,110.2,90.6,100.2,94.2,87.8,456,201,411.0,208,40.2,43,8.3,6.5,223,26.1,356,0.3651685393258427,0.6348314606741573,0.300561797752809,0.2162921348314606,0.1179775280898876,0.4213483146067415,0.348314606741573,0.2303370786516854,0.1713483146067415,0.1292134831460674,0.0646067415730337,0.2499999999999999,0.2191011235955056,0.1657303370786517,517,0.264,0.0229999999999999,0.484,0.0909999999999999,0.371,0.336,0.0349999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,578428,1681,-2.6660011811321653,-5.277769619862759,-12.629467332804357,8.272607740241888,6.968628031293031,379,4.5,26.1,108.6,83.7,93.4,87.0,83.1,377,134,366.0,71,18.7,0,0.0,0.0,240,28.4,256,0.59375,0.40625,0.15234375,0.203125,0.05078125,0.265625,0.3984375,0.3359375,0.16796875,0.25390625,0.171875,0.09765625,0.14453125,0.1640625,379,0.25,0.0499999999999999,0.298,0.072,0.315,0.272,0.0429999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,592626,2444,17.24507989760547,1.1835836532526989,-18.43720834562055,20.307790868478108,14.190913721495289,314,13.7,28.3,114.3,91.2,102.1,96.6,88.0,477,185,419.0,142,45.2,37,11.8,6.3,163,27.2,201,0.4079601990049751,0.5920398009950248,0.2935323383084577,0.1990049751243781,0.099502487562189,0.4427860696517413,0.2985074626865671,0.2587064676616915,0.2189054726368159,0.1044776119402985,0.0845771144278607,0.2238805970149253,0.1940298507462686,0.1741293532338308,314,0.211,-0.001,0.427,-0.01,0.335,0.345,-0.0099999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,502054,673,4.724060414178517,2.1185281371558617,-4.073630119835288,4.335700998090278,2.343461398767662,113,6.8,34.5,113.0,91.7,103.0,95.6,89.5,432,180,402.0,50,44.2,13,11.5,7.5,74,28.6,303,0.5115511551155115,0.4884488448844884,0.198019801980198,0.231023102310231,0.0594059405940594,0.3762376237623762,0.3696369636963696,0.2541254125412541,0.2706270627062706,0.1914191419141914,0.0495049504950495,0.1056105610561056,0.1782178217821781,0.2046204620462046,113,0.28,-0.012,0.47,0.007,0.352,0.363,-0.011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,516782,2266,19.64803619971984,18.469923937334585,-13.533329927672924,6.3423410222382905,8.369101167819908,464,5.5,32.5,111.9,87.8,99.5,94.6,83.7,467,148,410.0,163,35.1,31,6.7,4.9,293,29.6,230,0.4869565217391304,0.5130434782608696,0.2217391304347826,0.2347826086956521,0.0565217391304347,0.3652173913043478,0.3782608695652174,0.2565217391304348,0.217391304347826,0.1956521739130435,0.0739130434782608,0.1478260869565217,0.1826086956521738,0.1826086956521739,464,0.276,0.0109999999999999,0.455,-0.011,0.337,0.344,-0.0069999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,596019,1578,14.950143889106412,0.079701453149987,-2.379869585682613,10.417021242194435,6.833290779444615,341,6.3,27.3,110.4,89.9,99.5,92.5,88.2,405,147,375.0,125,36.7,12,3.5,2.7,199,28.4,520,0.3903846153846154,0.6096153846153847,0.275,0.25,0.0846153846153846,0.4211538461538461,0.3538461538461538,0.225,0.1942307692307692,0.15,0.0461538461538461,0.2269230769230769,0.2038461538461538,0.1788461538461538,341,0.278,0.0349999999999999,0.405,0.0769999999999999,0.358,0.323,0.0349999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,592663,1715,-10.820512630570782,-5.538549075316362,-18.163999731174464,8.985364869821376,3.896671306098684,376,8.9,31.9,109.6,88.4,98.3,92.7,85.4,423,169,383.0,129,34.3,16,4.3,3.4,189,28.8,376,0.4468085106382978,0.553191489361702,0.2367021276595744,0.2579787234042553,0.0585106382978723,0.3882978723404255,0.3563829787234042,0.2553191489361702,0.2473404255319149,0.1569148936170212,0.0425531914893617,0.1409574468085106,0.1994680851063829,0.2127659574468084,376,0.274,-0.015,0.411,-0.0049999999999999,0.298,0.314,-0.016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015,606466,952,4.087124328028196,-2.3691146521229958,-6.763201457996673,9.078331568896226,4.141108869251643,180,6.8,25.0,109.3,87.2,97.3,88.7,87.7,410,132,396.0,50,27.8,3,1.7,1.2,116,28.1,400,0.4075,0.5925,0.2825,0.2175,0.0925,0.4725,0.34,0.1875,0.2375,0.14,0.03,0.235,0.2,0.1575,180,0.242,0.0409999999999999,0.317,0.085,0.33,0.287,0.043,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,621043,1793,21.21893208112679,8.604026339262948,-3.096148903819955,10.649377873472812,5.061676772210953,313,8.3,31.3,115.1,90.0,101.8,94.5,87.4,469,159,400.0,127,40.6,28,8.9,6.5,180,28.3,425,0.4823529411764706,0.5176470588235293,0.188235294117647,0.2752941176470588,0.0541176470588235,0.3435294117647058,0.3764705882352941,0.28,0.1929411764705882,0.2070588235294117,0.0823529411764705,0.1505882352941176,0.1694117647058823,0.1976470588235294,313,0.276,0.003,0.476,0.036,0.365,0.356,0.009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,624585,1603,1.1098494588830154,-2.6057564188861084,-10.261977687740348,7.26545018885129,6.712133376658184,248,11.1,37.5,116.2,91.7,103.2,94.8,89.5,427,182,398.0,107,43.1,25,10.1,6.2,143,27.6,188,0.4361702127659574,0.5638297872340425,0.2234042553191489,0.2393617021276596,0.101063829787234,0.4787234042553192,0.351063829787234,0.1702127659574468,0.2978723404255319,0.1170212765957446,0.0212765957446808,0.1808510638297872,0.2340425531914893,0.1489361702127659,248,0.26,0.002,0.416,-0.0169999999999999,0.312,0.323,-0.011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,455117,986,-15.171278327860804,-13.440991083341435,-11.19182760045746,6.353092939857696,3.10844741608043,167,10.8,24.6,109.8,87.5,97.6,90.4,86.5,415,151,401.0,51,30.5,4,2.4,1.6,75,25.0,96,0.4270833333333333,0.5729166666666666,0.2395833333333333,0.1979166666666666,0.1354166666666666,0.4791666666666667,0.3125,0.2083333333333333,0.2708333333333333,0.1145833333333333,0.0416666666666666,0.2083333333333333,0.1979166666666666,0.1666666666666666,167,0.185,0.0249999999999999,0.271,0.0219999999999999,0.254,0.24,0.014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,527038,1960,-2.127981742131013,-6.678239750378614,-11.294392775673137,8.866981847649427,6.977668936271314,424,14.6,32.1,110.0,86.4,95.8,90.0,84.8,419,171,389.0,109,25.7,8,1.9,1.6,205,25.8,334,0.3502994011976048,0.6497005988023952,0.2694610778443114,0.2604790419161676,0.1197604790419161,0.3892215568862275,0.3502994011976048,0.2604790419161676,0.1586826347305389,0.1437125748502994,0.0479041916167664,0.2305389221556886,0.2065868263473053,0.2125748502994012,424,0.236,0.027,0.339,0.0689999999999999,0.304,0.27,0.0339999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,624424,743,5.0432429886807055,-4.784462892576262,-0.4855162221099167,6.957530185290442,3.3556919180764435,137,13.4,33.6,115.0,92.3,102.5,96.1,88.7,444,191,397.0,65,47.4,13,9.5,6.7,79,27.3,300,0.42,0.58,0.3,0.2233333333333333,0.0566666666666666,0.38,0.3466666666666667,0.2733333333333333,0.22,0.1666666666666666,0.0333333333333333,0.16,0.18,0.24,137,0.284,-0.0139999999999999,0.539,-0.033,0.359,0.382,-0.023,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,457759,1713,20.698994604946176,2.800242248478902,-5.347601216060572,16.49471730847792,6.75163626404988,319,14.0,40.8,107.6,89.5,99.1,92.9,85.8,432,194,397.0,121,37.9,23,7.2,5.2,166,26.1,136,0.3897058823529412,0.6102941176470588,0.2867647058823529,0.2352941176470588,0.088235294117647,0.3161764705882353,0.4191176470588235,0.2647058823529412,0.1544117647058823,0.2058823529411764,0.0294117647058823,0.1617647058823529,0.213235294117647,0.2352941176470588,319,0.287,0.007,0.481,0.01,0.371,0.369,0.002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,457705,2731,32.95952352247517,-2.545186824723177,-8.055674332063909,29.564784233546327,13.995600445715963,442,13.9,41.0,111.4,90.6,100.2,95.0,85.5,447,197,404.0,197,44.6,41,9.3,6.0,210,28.5,362,0.4226519337016574,0.5773480662983425,0.2707182320441988,0.2265193370165746,0.080110497237569,0.4668508287292817,0.3314917127071823,0.2016574585635359,0.2624309392265193,0.1270718232044199,0.0331491712707182,0.2044198895027624,0.2044198895027624,0.1685082872928177,442,0.283,0.009,0.519,-0.031,0.38,0.396,-0.016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,553993,1581,4.445424007575011,1.271880361069393,-8.440016226953524,7.152211478525082,4.461348394934048,284,14.8,31.3,109.8,88.6,97.6,91.1,86.2,423,175,382.0,95,33.5,15,5.3,3.8,132,27.0,399,0.3208020050125313,0.6791979949874686,0.4085213032581453,0.1854636591478696,0.0852130325814536,0.4736842105263157,0.3483709273182957,0.1779448621553884,0.18796992481203,0.1278195488721804,0.0050125313283208,0.2857142857142857,0.2205513784461152,0.1729323308270676,284,0.227,0.053,0.365,0.081,0.328,0.278,0.0499999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,502671,2819,56.846404177338655,9.988482638097835,9.446352501590264,21.24395269649796,16.16761634115279,423,12.9,39.2,114.0,92.0,102.0,97.0,87.2,471,200,406.0,196,46.3,53,12.5,7.6,244,27.4,391,0.3887468030690537,0.6112531969309463,0.2966751918158568,0.258312020460358,0.0562659846547314,0.3708439897698209,0.3248081841432225,0.3043478260869565,0.1918158567774936,0.1355498721227621,0.0613810741687979,0.1790281329923273,0.1892583120204603,0.2429667519181585,423,0.279,0.0419999999999999,0.558,0.0119999999999999,0.418,0.403,0.0149999999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,543807,1790,18.295793269502983,1.2634600801178486,-5.227253367211828,15.063614873479946,7.195971683117023,284,9.1,35.9,114.2,89.9,102.1,94.8,85.4,428,172,404.0,118,41.5,27,9.5,6.0,165,28.8,391,0.3759590792838874,0.6240409207161126,0.2838874680306905,0.2557544757033248,0.0843989769820971,0.3989769820971867,0.3657289002557545,0.2352941176470588,0.2122762148337595,0.1202046035805626,0.0434782608695652,0.1867007672634271,0.2455242966751918,0.1918158567774936,284,0.273,0.003,0.464,-0.005,0.36,0.364,-0.004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,521692,1831,2.5592655516632847,12.55987601272013,-13.519860936189598,-1.1764026237992202,4.69565309893201,454,13.0,32.8,110.9,87.3,98.2,90.9,85.8,454,179,406.0,148,32.6,24,5.3,4.3,235,25.6,473,0.3509513742071881,0.6490486257928119,0.3255813953488372,0.2325581395348837,0.0909090909090909,0.4587737843551797,0.3319238900634249,0.2093023255813953,0.1923890063424947,0.1247357293868921,0.0338266384778012,0.2663847780126849,0.2071881606765327,0.1754756871035941,454,0.26,0.0,0.408,0.018,0.3,0.298,0.002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,571771,826,8.51555361120794,4.778514612505882,-3.352177844995271,4.820036364048538,2.2691804796488,159,11.0,32.1,109.2,90.4,100.7,95.5,87.3,448,160,420.0,69,43.4,8,5.0,3.7,92,27.2,170,0.388235294117647,0.611764705882353,0.3235294117647059,0.2176470588235294,0.0705882352941176,0.4235294117647059,0.3235294117647059,0.2529411764705882,0.2,0.1411764705882353,0.0470588235294117,0.2235294117647058,0.1823529411764706,0.2058823529411764,159,0.268,0.0389999999999999,0.431,0.059,0.359,0.324,0.0349999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,593428,2526,7.100130638970287,-12.25320753478678,-1.807073922899612,14.103025824196203,7.057386272460484,518,6.8,28.0,111.8,88.0,98.4,91.1,87.0,437,145,401.0,175,33.8,13,2.5,2.0,329,28.3,406,0.438423645320197,0.5615763546798029,0.2315270935960591,0.2684729064039409,0.0615763546798029,0.4236453201970443,0.3743842364532019,0.2019704433497537,0.2389162561576354,0.1600985221674876,0.0394088669950738,0.1847290640394088,0.2142857142857142,0.1625615763546798,518,0.271,0.0489999999999999,0.362,0.059,0.338,0.3,0.038,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,570482,1077,-7.953451074350935,-4.238298173058596,-10.142481285660926,3.1123110740925632,3.3150173102760228,210,14.8,33.8,108.6,87.2,97.8,90.9,85.5,433,165,399.0,71,33.8,9,4.3,3.1,97,26.7,144,0.4791666666666667,0.5208333333333334,0.1805555555555555,0.2847222222222222,0.0555555555555555,0.3333333333333333,0.4375,0.2291666666666666,0.2222222222222222,0.2291666666666666,0.0277777777777777,0.1111111111111111,0.2083333333333333,0.2013888888888889,210,0.249,-0.0239999999999999,0.372,-0.0419999999999999,0.27,0.298,-0.0279999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,592206,2315,-2.246919181833842,-6.936095419688148,-11.512649952858425,9.629709781693396,6.572116409019303,403,16.9,37.5,111.6,88.3,97.7,91.2,85.1,447,199,393.0,139,34.5,31,7.7,5.2,172,26.5,420,0.3880952380952381,0.6119047619047618,0.3095238095238095,0.2666666666666666,0.0357142857142857,0.4047619047619047,0.3619047619047619,0.2333333333333333,0.2214285714285714,0.1333333333333333,0.0333333333333333,0.1833333333333333,0.2285714285714285,0.2,403,0.257,-0.002,0.436,-0.017,0.311,0.322,-0.011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,514888,2196,17.682188138695565,4.599884555904251,-4.215752821062004,8.446904589551849,8.851151814301533,580,11.2,31.2,106.5,86.1,96.2,90.2,84.0,410,159,386.0,166,28.6,18,3.1,2.6,324,28.4,486,0.4320987654320987,0.5679012345679012,0.2510288065843621,0.1975308641975308,0.1193415637860082,0.5246913580246914,0.3127572016460905,0.1625514403292181,0.2716049382716049,0.1358024691358024,0.0246913580246913,0.2530864197530864,0.1769547325102881,0.1378600823045267,580,0.262,0.0509999999999999,0.382,0.077,0.347,0.3,0.0469999999999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,519317,1194,28.301867408799897,18.50405751746229,-1.045405759084638,4.720576545610727,6.122639104811457,187,15.7,28.9,120.3,96.1,108.9,102.6,91.8,479,219,424.0,99,52.9,45,24.1,14.2,78,27.1,154,0.3506493506493506,0.6493506493506493,0.3116883116883117,0.2272727272727272,0.1103896103896103,0.435064935064935,0.2857142857142857,0.2792207792207792,0.2207792207792207,0.0909090909090909,0.0389610389610389,0.2142857142857142,0.1948051948051948,0.2402597402597402,187,0.275,-0.01,0.611,-0.005,0.394,0.409,-0.0149999999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
